Section,Distance (km),Sub Distance (km),skid,Latitude,Longitude
0102100F02,80.997,11.485,0.203333333,13.71228,100.5688359
0102100F02,81.002,11.49,0.226666674,13.7122912,100.5688797
0102100F02,81.007,11.495,0.219999999,13.712303,100.5689246
0102100F02,81.012,11.5,0.239999995,13.7123145,100.5689695
0102100F02,81.017,11.505,0.230000004,13.7123263,100.5690137
0102100F02,81.022,11.51,0.209999993,13.712338,100.569058
0102100F02,81.027,11.515,0.180000007,13.7123504,100.5691024
0102100F02,81.032,11.52,0.143333331,13.7123624,100.5691472
0102100F02,81.037,11.525,0.199999988,13.7123744,100.5691918
0102100F02,81.042,11.53,0.185000002,13.7123871,100.5692369
0102100F02,81.047,11.535,0.183333337,13.712399,100.5692807
0102100F02,81.052,11.54,0.200000003,13.7124114,100.5693248
0102100F02,81.057,11.545,0.204999998,13.7124238,100.5693691
0102100F02,81.062,11.55,0.203333333,13.712436,100.5694133
0102100F02,81.067,11.555,0.213333324,13.7124491,100.5694582
0102100F02,81.072,11.56,0.200000003,13.7124611,100.5695027
0102100F02,81.077,11.565,0.194999993,13.7124731,100.5695477
0102100F02,81.082,11.57,0.199999988,13.7124858,100.5695924
0102100F02,81.087,11.575,0.194999993,13.7124976,100.5696365
0102100F02,81.092,11.58,0.215000004,13.7125089,100.5696814
0102100F02,81.097,11.585,0.216666654,13.7125207,100.5697264
0102100F02,81.102,11.59,0.194999993,13.7125318,100.5697708
0102100F02,81.107,11.595,0.189999998,13.7125428,100.5698152
0102100F02,81.112,11.6,0.183333337,13.7125545,100.56986
0102100F02,81.117,11.605,0.173333332,13.7125659,100.5699049
0102100F02,81.122,11.61,0.189999998,13.7125775,100.5699502
0102100F02,81.127,11.615,0.189999998,13.7125888,100.5699945
0102100F02,81.132,11.62,0.159999996,13.7126,100.57004
0102100F02,81.137,11.625,0.150000006,13.7126111,100.5700843
0102100F02,81.142,11.63,0.164999992,13.7126231,100.5701294
0102100F02,81.147,11.635,0.173333332,13.712634,100.5701737
0102100F02,81.152,11.64,0.175000012,13.7126454,100.5702192
0102100F02,81.157,11.645,0.189999998,13.7126559,100.5702639
0102100F02,81.162,11.65,0.193333328,13.7126664,100.570309
0102100F02,81.167,11.655,0.194999993,13.7126762,100.5703533
0102100F02,81.172,11.66,0.185000002,13.7126857,100.5703985
0102100F02,81.177,11.665,0.206666663,13.7126951,100.5704433
0102100F02,81.182,11.67,0.193333328,13.7127049,100.5704899
0102100F02,81.187,11.675,0.189999998,13.7127138,100.570535
0102100F02,81.192,11.68,0.183333337,13.7127232,100.5705799
0102100F02,81.197,11.685,0.180000007,13.7127334,100.5706251
0102100F02,81.202,11.69,0.175000012,13.7127435,100.5706703
0102100F02,81.207,11.695,0.189999998,13.712753,100.5707141
0102100F02,81.212,11.7,0.186666667,13.7127632,100.5707599
0102100F02,81.217,11.705,0.180000007,13.7127728,100.5708053
0102100F02,81.222,11.71,0.175000012,13.7127826,100.5708493
0102100F02,81.227,11.715,0.203333333,13.7127926,100.5708941
0102100F02,81.232,11.72,0.189999998,13.7128027,100.5709395
0102100F02,81.237,11.725,0.200000003,13.7128124,100.5709847
0102100F02,81.242,11.73,0.166666672,13.7128224,100.5710298
0102100F02,81.247,11.735,0.150000006,13.7128326,100.571075
0102100F02,81.252,11.74,0.159999996,13.7128423,100.5711188
0102100F02,81.257,11.745,0.176666677,13.7128522,100.5711654
0102100F02,81.262,11.75,0.189999998,13.712862,100.57121
0102100F02,81.267,11.755,0.189999998,13.7128723,100.5712556
0102100F02,81.272,11.76,0.200000003,13.7128823,100.5713005
0102100F02,81.277,11.765,0.193333328,13.7128923,100.5713455
0102100F02,81.282,11.77,0.180000007,13.7129019,100.5713896
0102100F02,81.287,11.775,0.13499999,13.7129118,100.5714341
