Section,Distance (km),Sub Distance (km),GNaverage,Latitude,Longitude
0102100F01,43.608,11.39,0.180000007,13.7120393,100.5679292
0102100F01,43.613,11.395,0.173333332,13.7120491,100.5679746
0102100F01,43.618,11.4,0.185000002,13.7120585,100.5680197
0102100F01,43.623,11.405,0.196666658,13.7120679,100.5680648
0102100F01,43.628,11.41,0.226666674,13.7120775,100.5681104
0102100F01,43.633,11.415,0.239999995,13.7120879,100.5681554
0102100F01,43.638,11.42,0.204999998,13.712098,100.5682003
0102100F01,43.643,11.425,0.209999993,13.7121082,100.5682456
0102100F01,43.648,11.43,0.209999993,13.7121185,100.56829
0102100F01,43.653,11.435,0.159999996,13.7121283,100.5683365
0102100F01,43.658,11.44,0.156666666,13.7121384,100.5683816
0102100F01,43.663,11.445,0.200000003,13.7121489,100.5684257
0102100F01,43.668,11.45,0.204999998,13.7121595,100.5684707
0102100F01,43.673,11.455,0.196666658,13.7121701,100.5685154
0102100F01,43.678,11.46,0.123333335,13.7121806,100.5685593
0102100F01,43.683,11.465,0.119999997,13.7121912,100.5686042
0102100F01,43.688,11.47,0.103333332,13.712202,100.5686496
0102100F01,43.693,11.475,0.103333332,13.7122129,100.5686945
0102100F01,43.698,11.48,0.114999995,13.712224,100.5687396
0102100F01,43.703,11.485,0.180000007,13.7122351,100.5687842
0102100F01,43.708,11.49,0.203333333,13.7122464,100.5688287
0102100F01,43.713,11.495,0.200000003,13.7122579,100.5688735
0102100F01,43.718,11.5,0.209999993,13.7122695,100.5689181
0102100F01,43.723,11.505,0.189999998,13.7122809,100.5689627
0102100F01,43.728,11.51,0.164999992,13.7122924,100.5690072
0102100F01,43.733,11.515,0.164999992,13.7123043,100.5690518
0102100F01,43.738,11.52,0.166666672,13.7123162,100.5690963
0102100F01,43.743,11.525,0.110000007,13.7123282,100.5691397
0102100F01,43.748,11.53,0.114999995,13.7123404,100.5691837
0102100F01,43.753,11.535,0.159999996,13.7123528,100.5692282
0102100F01,43.758,11.54,0.183333337,13.7123646,100.5692752
0102100F01,43.763,11.545,0.150000006,13.7123759,100.5693217
0102100F01,43.768,11.55,0.194999993,13.7123884,100.5693666
0102100F01,43.773,11.555,0.176666662,13.7124007,100.569411
0102100F01,43.778,11.56,0.189999998,13.7124132,100.5694548
0102100F01,43.783,11.565,0.164999992,13.7124256,100.5694995
0102100F01,43.788,11.57,0.140000001,13.7124367,100.569545
