Section,Distance (km),Sub Distance (km),GNaverage,Latitude,Longtitude
0101100R01,26.583,5.675,0.355000019,13.73175,100.5517345
0101100R01,26.588,5.67,0.403333336,13.7317948,100.5517295
0101100R01,26.593,5.665,0.400000006,13.7318397,100.5517245
0101100R01,26.598,5.66,0.400000006,13.7318845,100.5517198
0101100R01,26.603,5.655,0.416666657,13.7319295,100.5517151
0101100R01,26.608,5.65,0.379999995,13.7319745,100.5517104
0101100R01,26.613,5.645,0.419999987,13.7320192,100.5517054
0101100R01,26.618,5.64,0.426666647,13.7320642,100.5517001
0101100R01,26.623,5.635,0.419999987,13.7321089,100.5516948
0101100R01,26.628,5.63,0.414999992,13.7321538,100.5516893
0101100R01,26.633,5.625,0.436666638,13.7321989,100.5516814
0101100R01,26.638,5.62,0.409999996,13.7322437,100.5516736
0101100R01,26.643,5.615,0.405000001,13.7322888,100.5516657
0101100R01,26.648,5.61,0.38499999,13.7323338,100.5516597
0101100R01,26.653,5.605,0.409999996,13.7323788,100.5516548
0101100R01,26.658,5.6,0.430000007,13.732424,100.5516498
0101100R01,26.663,5.595,0.430000007,13.732469,100.5516448
0101100R01,26.668,5.59,0.429999977,13.732514,100.5516396
0101100R01,26.673,5.585,0.435000002,13.7325589,100.5516344
0101100R01,26.678,5.58,0.425000012,13.7326039,100.5516292
0101100R01,26.683,5.575,0.449999958,13.7326487,100.5516242
0101100R01,26.688,5.57,0.426666647,13.7326934,100.5516193
0101100R01,26.693,5.565,0.394999981,13.7327385,100.5516143
0101100R01,26.698,5.56,0.403333336,13.7327832,100.5516095
0101100R01,26.703,5.555,0.413333327,13.7328281,100.5516049
0101100R01,26.708,5.55,0.409999996,13.7328729,100.5516003
0101100R01,26.713,5.545,0.419999987,13.7329177,100.5515958
0101100R01,26.718,5.54,0.393333316,13.732963,100.5515909
0101100R01,26.723,5.535,0.394999981,13.733008,100.551586
0101100R01,26.728,5.53,0.379999995,13.7330531,100.5515811
0101100R01,26.733,5.525,0.400000006,13.7330983,100.5515763
0101100R01,26.738,5.52,0.389999986,13.7331426,100.5515718
0101100R01,26.743,5.515,0.389999986,13.7331873,100.5515673
0101100R01,26.748,5.51,0.330000013,13.7332319,100.5515627
0101100R01,26.753,5.505,0.370000005,13.7332768,100.5515581
0101100R01,26.758,5.5,0.335000008,13.7333223,100.5515535
0101100R01,26.763,5.495,0.370000005,13.7333676,100.5515489
0101100R01,26.768,5.49,0.356666684,13.7334126,100.5515442
0101100R01,26.773,5.485,0.370000005,13.7334577,100.5515394
0101100R01,26.778,5.48,0.405000001,13.7335025,100.5515345
0101100R01,26.783,5.475,0.393333316,13.7335476,100.5515297
0101100R01,26.788,5.47,0.409999996,13.7335926,100.5515246
0101100R01,26.793,5.465,0.430000007,13.7336374,100.5515195
0101100R01,26.798,5.46,0.436666638,13.7336825,100.5515144
0101100R01,26.803,5.455,0.419999987,13.7337268,100.5515085
0101100R01,26.808,5.45,0.444999993,13.7337701,100.5515011
0101100R01,26.813,5.445,0.403333336,13.7338137,100.5514937
0101100R01,26.818,5.44,0.393333316,13.7338572,100.5514863
0101100R01,26.823,5.435,0.324999988,13.7339017,100.5514829
0101100R01,26.828,5.43,0.326666683,13.7339469,100.5514803
0101100R01,26.833,5.425,0.650000036,13.7339932,100.5514777
