Section,InterLat,InterLon,InterAlt,FrameNoCalculated,Sub_Distance__km_,MeasuredChainage,ReferencePoints,Latitude__deg_,Longitude__deg_,GPS_position_is_calculated,ImageFilename
0401302R05,13.64486227,100.6824382,3.825845846,352,0.449,0.4486599,Kanchanapisak Expressway,13.64482232,100.6824879,FALSE,351.jpg
0401302R05,13.64490292,100.6824638,3.786083042,353,0.454,0.4536972,Kanchanapisak Expressway,13.64486186,100.6825149,FALSE,352.jpg
0401302R05,13.64494357,100.6824894,3.738309155,354,0.459,0.4587078,Kanchanapisak Expressway,13.64490139,100.6825419,FALSE,353.jpg
0401302R05,13.64498422,100.682515,3.702566151,355,0.464,0.463726,Kanchanapisak Expressway,13.64494093,100.6825689,FALSE,354.jpg
0401302R05,13.64502487,100.6825406,3.674378432,356,0.469,0.4687662,Kanchanapisak Expressway,13.64498046,100.6825959,FALSE,355.jpg
0401302R05,13.64506552,100.6825661,3.651135568,357,0.474,0.4738026,Kanchanapisak Expressway,13.64502,100.6826229,FALSE,356.jpg
0401302R05,13.64510617,100.6825917,3.633026513,358,0.479,0.4788609,Kanchanapisak Expressway,13.64505954,100.6826499,FALSE,357.jpg
0401302R05,13.64514682,100.6826173,3.610849151,359,0.484,0.483901,Kanchanapisak Expressway,13.64509907,100.6826769,FALSE,358.jpg
0401302R05,13.64518747,100.6826429,3.576403596,360,0.489,0.4888964,Kanchanapisak Expressway,13.64513861,100.6827039,FALSE,359.jpg
0401302R05,13.64522812,100.6826685,3.541838162,361,0.494,0.4939041,Kanchanapisak Expressway,13.64517814,100.6827309,FALSE,360.jpg
0401302R05,13.64526877,100.6826941,3.564582291,362,0.499,0.498888,Kanchanapisak Expressway,13.64521768,100.6827579,FALSE,361.jpg
0401302R05,13.64530942,100.6827197,3.590875438,363,0.504,0.5038967,Kanchanapisak Expressway,13.64525721,100.6827849,FALSE,362.jpg
0401302R05,13.64535007,100.6827452,3.594257129,364,0.509,0.5089178,Kanchanapisak Expressway,13.64529675,100.6828119,FALSE,363.jpg
0401302R05,13.64539072,100.6827708,3.585542771,365,0.514,0.5139713,Kanchanapisak Expressway,13.64533629,100.6828389,FALSE,364.jpg
0401302R05,13.64543136,100.6827964,3.582981491,366,0.519,0.5190353,Kanchanapisak Expressway,13.64537582,100.6828659,FALSE,365.jpg
0401302R05,13.64547201,100.682822,3.591275638,367,0.524,0.524087,Kanchanapisak Expressway,13.64541536,100.6828929,FALSE,366.jpg
0401302R05,13.64551266,100.6828476,3.59931966,368,0.529,0.529109,Kanchanapisak Expressway,13.64545489,100.6829199,FALSE,367.jpg
0401302R05,13.64555331,100.6828732,3.603594608,369,0.534,0.5341644,Kanchanapisak Expressway,13.64549443,100.6829469,FALSE,368.jpg
0401302R05,13.64559396,100.6828988,3.607428857,370,0.539,0.5392103,Kanchanapisak Expressway,13.64553396,100.6829739,FALSE,369.jpg
0401302R05,13.64563461,100.6829243,3.595712856,371,0.544,0.5442715,Kanchanapisak Expressway,13.6455735,100.6830009,FALSE,370.jpg
0401302R05,13.64567526,100.6829499,3.551830915,372,0.549,0.5492964,Kanchanapisak Expressway,13.64561304,100.6830279,FALSE,371.jpg
0401302R05,13.64571591,100.6829755,3.508549275,373,0.554,0.5543547,Kanchanapisak Expressway,13.64565257,100.6830549,FALSE,372.jpg
0401302R05,13.64575656,100.6830011,3.503796898,374,0.559,0.5593863,Kanchanapisak Expressway,13.64569211,100.6830819,FALSE,373.jpg
0401302R05,13.64579721,100.6830267,3.528029015,375,0.564,0.5644341,Kanchanapisak Expressway,13.64573164,100.6831089,FALSE,374.jpg
0401302R05,13.64583786,100.6830523,3.551875938,376,0.569,0.5694933,Kanchanapisak Expressway,13.64577118,100.6831359,FALSE,375.jpg
0401302R05,13.64587851,100.6830779,3.5382,377,0.575,0.5745335,Kanchanapisak Expressway,13.64581071,100.6831629,FALSE,376.jpg
0401302R05,13.64591916,100.6831034,3.5053,378,0.58,0.5795727,Kanchanapisak Expressway,13.64585025,100.6831899,FALSE,377.jpg
0401302R05,13.64595981,100.683129,3.47305,379,0.585,0.5845976,Kanchanapisak Expressway,13.64588979,100.6832169,FALSE,378.jpg
0401302R05,13.64600046,100.6831546,3.47894053,380,0.59,0.589653,Kanchanapisak Expressway,13.64592932,100.6832439,FALSE,379.jpg
0401302R05,13.64604111,100.6831802,3.510424788,381,0.595,0.5946951,Kanchanapisak Expressway,13.64596886,100.6832709,FALSE,380.jpg
0401302R05,13.64608176,100.6832058,3.54125937,382,0.6,0.5996943,Kanchanapisak Expressway,13.64600839,100.6832979,FALSE,381.jpg
0401302R05,13.6461224,100.6832314,3.555137569,383,0.605,0.6047564,Kanchanapisak Expressway,13.64604793,100.6833249,FALSE,382.jpg
0401302R05,13.64616305,100.683257,3.543011506,384,0.61,0.6097631,Kanchanapisak Expressway,13.64608746,100.6833519,FALSE,383.jpg
0401302R05,13.6462037,100.6832825,3.530905453,385,0.615,0.6147661,Kanchanapisak Expressway,13.646127,100.6833789,FALSE,384.jpg
0401302R05,13.64624435,100.6833081,3.52,386,0.62,0.6197462,Kanchanapisak Expressway,13.64616654,100.6834059,FALSE,385.jpg
0401302R05,13.646285,100.6833337,3.52,387,0.625,0.624754,Kanchanapisak Expressway,13.64620607,100.6834329,FALSE,386.jpg
0401302R05,13.64632565,100.6833593,3.52,388,0.63,0.629776,Kanchanapisak Expressway,13.64624561,100.6834599,FALSE,387.jpg
0401302R05,13.6463663,100.6833849,3.52,389,0.635,0.6347618,Kanchanapisak Expressway,13.64628514,100.6834869,FALSE,388.jpg
0401302R05,13.64640695,100.6834105,3.744512256,390,0.64,0.6397495,Kanchanapisak Expressway,13.64632468,100.6835139,FALSE,389.jpg
0401302R05,13.6464476,100.6834361,4.017448724,391,0.645,0.644763,Kanchanapisak Expressway,13.64636421,100.6835409,FALSE,390.jpg
0401302R05,13.64648825,100.6834616,4.290825413,392,0.65,0.6497469,Kanchanapisak Expressway,13.64640375,100.6835679,FALSE,391.jpg
0401302R05,13.6465289,100.6834872,4.831515758,393,0.655,0.6547565,Kanchanapisak Expressway,13.64644329,100.6835949,FALSE,392.jpg
0401302R05,13.64656955,100.6835128,5.545787894,394,0.66,0.6597538,Kanchanapisak Expressway,13.64648282,100.6836219,FALSE,393.jpg
0401302R05,13.6466102,100.6835384,6.261195598,395,0.665,0.6647549,Kanchanapisak Expressway,13.64652236,100.6836489,FALSE,394.jpg
0401302R05,13.64665085,100.683564,6.923673163,396,0.67,0.6697922,Kanchanapisak Expressway,13.64656189,100.6836759,FALSE,395.jpg
0401302R05,13.6466915,100.6835896,7.50994003,397,0.675,0.674818,Kanchanapisak Expressway,13.64660143,100.6837029,FALSE,396.jpg
0401302R05,13.64673215,100.6836152,8.090569715,398,0.68,0.6798344,Kanchanapisak Expressway,13.64664096,100.6837299,FALSE,397.jpg
0401302R05,13.64677279,100.6836408,8.090569715,398,0.685,0.6848879,Kanchanapisak Expressway,13.6466805,100.6837569,FALSE,398.jpg
0401302R05,13.64681344,100.6836663,8.090569715,398,0.69,0.6899071,Kanchanapisak Expressway,13.64672004,100.6837839,FALSE,399.jpg
0401302R05,13.64685409,100.6836919,8.090569715,398,0.695,0.6949244,Kanchanapisak Expressway,13.64675957,100.6838109,FALSE,400.jpg
0401302R05,13.64689474,100.6837175,8.090569715,398,0.7,0.6999645,Kanchanapisak Expressway,13.64679911,100.6838379,FALSE,401.jpg
0401302R05,13.64693539,100.6837431,8.090569715,398,0.705,0.7049932,Kanchanapisak Expressway,13.64683864,100.6838649,FALSE,402.jpg
0401302R05,13.64697604,100.6837687,8.090569715,398,0.71,0.7100067,Kanchanapisak Expressway,13.64687818,100.6838919,FALSE,403.jpg
0401302R05,13.64701669,100.6837943,8.090569715,398,0.715,0.7150307,Kanchanapisak Expressway,13.64691771,100.6839189,FALSE,404.jpg
0401302R05,13.64705734,100.6838199,3.815981964,406,0.72,0.720068,Kanchanapisak Expressway,13.64695725,100.6839459,FALSE,405.jpg
0401302R05,13.64709799,100.6838454,4.857369739,407,0.725,0.7250738,Kanchanapisak Expressway,13.64699679,100.6839729,FALSE,406.jpg
0401302R05,13.64713864,100.683871,5.889764529,408,0.73,0.7300377,Kanchanapisak Expressway,13.64703632,100.6839999,FALSE,407.jpg
0401302R05,13.64717929,100.6838966,6.849469735,409,0.735,0.7350693,Kanchanapisak Expressway,13.64707586,100.6840269,FALSE,408.jpg
0401302R05,13.64721994,100.6839222,6.517563782,410,0.74,0.7400999,Kanchanapisak Expressway,13.64711539,100.6840539,FALSE,409.jpg
0401302R05,13.64726059,100.6839478,6.187368684,411,0.745,0.7450781,Kanchanapisak Expressway,13.64715493,100.6840809,FALSE,410.jpg
0401302R05,13.64730124,100.6839734,5.856033017,412,0.75,0.7500591,Kanchanapisak Expressway,13.64719446,100.6841079,FALSE,411.jpg
0401302R05,13.64734189,100.683999,5.799574787,413,0.755,0.7550564,Kanchanapisak Expressway,13.647234,100.6841349,FALSE,412.jpg
0401302R05,13.64738254,100.6840245,5.912111056,414,0.76,0.7600718,Kanchanapisak Expressway,13.64727354,100.6841619,FALSE,413.jpg
0401302R05,13.64742319,100.6840501,6.023886943,415,0.765,0.7650461,Kanchanapisak Expressway,13.64731307,100.6841889,FALSE,414.jpg
0401302R05,13.64746383,100.6840757,6.1884,416,0.77,0.7700529,Kanchanapisak Expressway,13.64735261,100.6842159,FALSE,415.jpg
0401302R05,13.64750448,100.6841013,6.52048,417,0.775,0.7750568,Kanchanapisak Expressway,13.64739214,100.6842429,FALSE,416.jpg
0401302R05,13.64754513,100.6841269,6.8548,418,0.78,0.7800779,Kanchanapisak Expressway,13.64743168,100.6842699,FALSE,417.jpg
